,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Accio Robotics,2020,Bangalore,Industrial Automation,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,$Undisclosed,
1,Delhivery,2011,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",$270000000,Series H
2,Avishkaar,2014,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,$600000,Pre-series A
3,Jobsgaar,2020,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,$140000,Seed
4,Almo,2020,Gurugram,D2C Fashion,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,$Undisclosed,Seed
5,Breathe Well-being,2015,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",$1000000,Pre-series A
6,GalaxEye,2020,Chennai,SpaceTech,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,$Undisclosed,Pre-seed
7,Good Health Clinic,2021,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,$5000000,
8,Urban Company,2014,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",$250000000,Series F
9,MYBYK,2014,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,$1000000,Pre-series A
