,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Loop Health,2018,Pune,Hospital & Health Care,India's first health insurance with unlimited primary care for employees.,"Amrit Singh, Mayank Kale","Elevation, General Catalyst",$12000000,
1,Rupifi,2020,Bangalore,Financial Services,Embedded Lending for Small Businesses,"Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,$1000000,Debt
2,RENEE Cosmetics,2019,Ahmedabad,Cosmetics,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.","Priyank Shah, Ashutosh Valani, Aashka Goradia Goble","Equanimity Ventures, 9Unicorns",$1500000,Pre-series A
3,Svish,2020,Gurugram,Consumer Goods,D2C personal hygiene startup,"Ishan, Jaideep Mahajan",Nueva,$400000,Seed
4,Progcap,2016,New Delhi,FinTech,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm","Pallavi Shrivastava, Himanshu Chandra",Tiger Global,$30000000,Series C
5,Smartstaff,2020,Bangalore,Recruitment,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,"Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners",$4300000,
6,D’Moksha Homes,2020,Mumbai,Textiles,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.","Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",$570000,Seed
7,ANS Commerce,2017,Gurugram,E-commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",$2200000,Pre-Series A
8,Mobileware Technologies,2008,Mumbai,Information Technology & Services,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.","Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,$4700000,
9,GramCover,2016,Noida,Insurance,GramCover is a tech-enabled insurance marketplace for rural India.,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",$7000000,Series A
10,BYJU'S,2011,Bangalore,EdTech,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",$300000000,
11,Hyperface,2021,Bangalore,Information Technology & Services,Empowering Brands and Fintechs to offer banking products contextually to their customers.,"Ramanathan RV, Aishwarya Jaishankar","Kunal Shah, Better Capital",$1300000,
12,Licious,2015,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Vivek Gupta, Abhay",,$52000000,Series G
13,Chalo,2014,Mumbai,Mobility,India’s #1 bus transport technology company.,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",$40000000,Series C
14,Kaar Technologies,2005,Chennai,Information Technology & Services,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",Maran Nagarajan,BlackSoil,$4000000,
15,Kissan Pro,2021,Jharkhand,Farming,"Full stack solution on agri advisory, input purchase and market linkage",Ravi Dasoundhi,EKKI,$Undisclosed,
16,Sunstone Eduversity,2011,Gurugram,EdTech,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,"Ashish Munjal, Piyush Nangru",WestBridge Capital,$28000000,Series B
17,Ozonetel,2007,Hyderabad,Telecommunications,Ozonetel is leading Cloud Telephony solution provider.,"CSN Murthy, Atul Sharma",Stakeboat Capital,$5000000,Series A
18,CoinSwitch Kuber,2017,Bangalore,Crypto,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",$260000000,Series C
19,Pazcare,2020,Bangalore,Insurance,Paz Care is India's leading Employee Benefits & Health insurance platform,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",$3500000,Seed
20,kWh Bikes,2020,Bangalore,Automotive,Building India’s strongest and smartest electric 2 wheelers,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",$2000000,Seed
21,IBSFINtech,2006,Bangalore,Information Technology & Services,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.","C M Grover, TM Manjunath",,$1000000,Pre-Series A
22,LeadSquared,2011,Bangalore,Computer Software,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",Nilesh Patel,International Finance Corporation,$Undisclosed,
23,Phool.co,2017,Kanpur,Renewables & Environment,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,Ankit Agarwal,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",$Undisclosed,
24,Twin Health,2018,Chennai,"Health, Wellness & Fitness",Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",$140000000,Series C
25,Trica,2021,Mumbai,Equity Management,Powering private markets - A technology platform for startups and investors.,Nimesh Kampani,LetsVenture,$3000000,Seed
26,mHealth,2020,New Delhi,"Health, Wellness & Fitness",mHealth  is AI based corporate wellness platform  to spread happiness & well-being,"Rajesh Munjal, Balwinder Singh, Monika Garg",India Accelerator,$Undisclosed,Seed
27,Rebel Foods,2011,Mumbai,Cloud kitchen,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.","Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,$175000000,Series F
28,ProfitWheel,2020,Mumbai,Marketing & Advertising,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",$3000000,Seed
29,Log 9 Materials,2014,Bangalore,Nanotechnology,Log9 Materials is on a mission to make global energy 100% clean.,Akshay Singhal,Petronas Ventures,$2000000,
30,Chingari,2018,Bangalore,Entertainment,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",Sumit Ghosh,Solana,$19000000,
31,Ishitva,2018,Ahmedabad,Computer Software,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",Jitesh Dadlani,Inflection Point Ventures,$1000000,Pre-Series A
32,Ola Electric,2017,Bangalore,Automotive,Sustainability for the future.,Bhavish Aggarwal,"Falcon Edge, Softbank",$200000000,
33,leap.club,2014,Gurugram,Community,A community-led professional network for women,"Ragini Das, Anand Sinha","Enzia Ventures, Kunal Shah",$810000,Pre-Series A
