,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Rebel Foods,2011,Mumbai,Food tech,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,"$26,500,000",Series E2
1,Hevo,2017,Bangalore,Tech,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom","$8,000,000",Series A
2,BigSpoon Foods,2019,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah","$2,000,000",Pre series A
3,Chingari,,Bangalore,Media,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.","$1,000,000",Seed Round
4,ShareChat,2015,Bangalore,Media,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda","$351,000",
5,DatStop,,Delhi,Hospitality,It offers urban social space,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",Undisclosed,
6,IPHM Services,,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,Undisclosed,Seed Round
7,Wellcure,,Gurugram,Healthtech,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,"$200,000",
8,VilCart,2018,Bangalore,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",Undisclosed,Bridge Round
9,Firescore,,Mumbai,Gaming,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,"$500,000",
10,BulBul,2018,Gurgaon,Social commerce,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,"$ 8,700,000",
11,Toppr,2013,Mumbai,Edtech,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,"$46,761,000",Series D
12,Pickright Technologies,2019,Bangalore,Fintech,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu","$175,000",Seed Round
13,Muse Wearables,2018,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,"$3,000,000",
14,SATYA Microcapital,1995,Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,BlueOrchard Finance Limited,"9.600,000",
15,WYN Studio,,Gurugram,Media,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,Undisclosed,Seed Round
16,Fourth Partner Energy,2010,Bangalore,Solar Solution,Largest startup in the distributed solar sector,Saif Dhorajiwala,ResponsAbility Investments AG,"$15,000,000",
17,Entri,2017,Kochi,Edtech,Local language learning startup,Mohammed Hisamuddin,Good Capital,"$1,700,000",Pre series A
18,Snack Amor,2017,Mumbai,Foodtech,Healthy snack startup,Deepak Grover,Dr Srinivas Chunduru,Undisclosed,
19,MPowered,,Gurugram,SaaS,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani","$21,000,000",Pre series A
