,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
0,Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,"$20,000,000",Series C
1,Flick Stree,,Mumbai,AI & Media,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,"$3,000,000",Series A
2,MinionLabs,,Bangalore,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,Undisclosed,
3,Josh Talks,2015,Haryana,Media,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,"$1,500,000",Pre series A
4,PhoneParLoan,2015,Delhi,Fintech,Provides easy loans,Ringaile Noq,Accelerator MOX,Undisclosed,
5,RailYatri,2011,Noida,Travel,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation","$13,800,000",
6,AjnaLens,2014,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)","$1,500,000",Pre Series A
7,Rupeek,2015,Bangalore,Fintech,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners","$30,000,000",
8,Invideo,,,Visual Media,Video production and editing platform,Sanket Shah,Sequoia Capital’s Surge,"$2,500,000",
9,AvalonMeta,2017,,Edtech,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,"$420,000",
10,Near Store,,Mumbai,Ecommerce,Enables a shop to create an online presence,,Sauce.vc,"$300,000",Seed Round
11,ElecTorq,,Delhi,Automobile,Electric vehicle startup,Anubhav Sharma,AdvantEdge,Undisclosed,
12,Prayaan Capital,,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,"$1,200,000",Seed Round
13,Sanfe,,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital","$1,100,000",Pre Series A
14,Swiggy,2014,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,"$113,000,000",Series A
15,Unacademy,2010,Bangalore,Edtech,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures","$110,000,000",Series E
