Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
Happy Cow Dairy,Mumbai,"Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Undisclosed,584795.0,Seed,2018
Freyr Energy,Hyderabad,"Energy, Environmental Consulting, Renewable Energy, Solar","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Undisclosed,1500000.0,Series A,2018
Drivezy,Bengaluru,"Automotive, Rental, Sharing Economy",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Undisclosed,100000000.0,Debt Financing,2018
Hush - Speak Up. Make Work Better,Bengaluru,"Communities, Leisure, Mobile Apps, Software",Enabling diversity of opinions in organizations,Undisclosed,657895.0,Seed,2018
The Souled Store,Mumbai,"Fashion, Graphic Design, Wearables","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Undisclosed,3000000.0,Venture - Series Unknown,2018
Perspectico,Delhi,"Career Planning, Education, Internet",An Education Management startup.,Undisclosed,1140351.0,Seed,2018
Kogta Financial India Limited,Jaipur,Financial Services,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Undisclosed,22514620.0,Series B,2018
Hospals,Delhi,"Medical, Tourism",Hospals is a medical tourism company.,Undisclosed,1500000.0,Seed,2018
UrbanClap,Delhi,"Apps, Home Services, Information Services, Information Technology",UrbanClap is India's leading managed marketplace for home services.,Undisclosed,50000000.0,Series D,2018
NIRAMAI Health Analytix,Bengaluru,"Health Care, Hospital",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Undisclosed,6000000.0,Seed,2018
Square Off,Mumbai,"Internet of Things, Robotics",Delivering Imagination,Undisclosed,1100000.0,Seed,2018
ERUDITUS Executive Education,Mumbai,"Continuing Education, EdTech, Education, Skill Assessment","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Undisclosed,40000000.0,Series C,2018
Career Anna,Bengaluru,"Commercial, E-Learning, Education",India's Go to Career Commerce Portal,Undisclosed,584795.0,Seed,2018
Wicked Ride Adventure Services Private Limited,Bengaluru,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Peer-to-Peer motor vehicles sharing,Undisclosed,10000000.0,Venture - Series Unknown,2018
Cricnwin,Gurgaon,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Cricnwin is a Gurugram - based Fan Engagement Platform,Undisclosed,1140351.0,Seed,2018
Finwego,Chennai,NaN,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Undisclosed,1140351.0,Seed,2018
FreightBro,Mumbai,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Software for the new-age freight,Undisclosed,1140351.0,Seed,2018
The Social Hook,Bengaluru,Marketing,Fast growing Influencer Marketing platform in India.,Undisclosed,1140351.0,Seed,2018
Wishfie,Bengaluru,Apps,A platform for people to express their opinions in form of short videos around any topic.,Undisclosed,1140351.0,Seed,2018
Gaia Smart Cities,Mumbai,"Smart Cities, Telecommunications",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Undisclosed,1140351.0,Seed,2018
Charcoal Eats,Mumbai,Food Processing,Charcoal Eats aims to bring Dominos style standardisation.,Undisclosed,730994.0,Seed,2018
CloudSek,Bengaluru,"Information Technology, SaaS, Security",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Undisclosed,2046784.0,Seed,2018
Verloop,Bengaluru,"Customer Service, Information Technology, Internet, Sales Automation",Verloop is an automated customer support and engagement platform.,Undisclosed,3000000.0,Series A,2018
Billdesk,Ahmedabad,"Finance, FinTech, Payments, Property Development, Rental","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",Undisclosed,1140351.0,Venture - Series Unknown,2018
CropIn Technologies,Bengaluru,"Agriculture, Mobile","To discover, develop and deliver innovative solution in Agtech Space",Undisclosed,8479532.0,Series B,2018
Cloudnine Hospitals,Bengaluru,"Child Care, Health Care, Hospital, Medical, Women's",Cloudnine is an Indian chain of women and child care hospitals.,Undisclosed,1140351.0,Private Equity,2018
CashRich,Mumbai,"Apps, Financial Services, FinTech",A Mumbai-based fin-tech startup,Undisclosed,1000000.0,Seed,2018
Signzy,Bengaluru,"Computer, FinTech, Risk Management, Software",Signzy are creating 'building blocks for a Digital Trust system.,Undisclosed,3508772.0,Series A,2018
Detect Technologies,Chennai,"Artificial Intelligence, Energy, Oil and Gas",Completely automated remote control system.,Undisclosed,3300000.0,Series A,2018
Aldopay,Chennai,Mobile Payments,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,Undisclosed,200000.0,Seed,2018
Aye Finance,Gurgaon,"Finance, Financial Services, Small and Medium Businesses",Aye Finance provides financial services to micro and small businesses in Northern India.,Undisclosed,1052632.0,Debt Financing,2018
Lendbox,Delhi,"Crowdfunding, Financial Services, Internet",Lendbox is India's leading peer-to-peer lending online lending platform.,Undisclosed,877193.0,Seed,2018
Mech Mocha,Bengaluru,"Digital Entertainment, Mobile, PC Games",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,Undisclosed,3530000.0,Series B,2018
Magicpin,Gurgaon,"E-Commerce, E-Commerce Platforms, Retail","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",Undisclosed,20614035.0,Series C,2018
Stelis Biopharma,Bengaluru,Biopharma,Stelis Biopharma is a vertically integrated biopharmaceutical company,Undisclosed,100000000.0,Series B,2018
Sportido,Noida,"Social Media, Sports",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,Undisclosed,1140351.0,Seed,2018
Vedantu,Bengaluru,"EdTech, Education, Mobile, Tutoring",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,Undisclosed,11000000.0,Series B,2018
InCred,Mumbai,"Banking, Finance, Financial Services",InCred Finance is a mumbai-based non-banking financial company,Undisclosed,41900000.0,Private Equity,2018
Idha Skin Clinic,Bengaluru,"Beauty, Cosmetics, Health Care, Service Industry",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,Undisclosed,73099.0,Seed,2018
Paymatrix,Hyderabad,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",India's Leading Property Rent management platform,Undisclosed,100000.0,Seed,2018
Flickstree,Mumbai,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",Undisclosed,1140351.0,Seed,2018
Try & Buy,Delhi,"E-Commerce, Fashion, Shopping",Try & Buy,Undisclosed,1140351.0,Seed,2018
Yaantra,Delhi,"Information Services, Information Technology, Mobile, Software","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",Undisclosed,2000000.0,Debt Financing,2018
Earth Food,Pune,"Food and Beverage, Food Processing",Earth Food is a healthy Food Start Up.,Undisclosed,935673.0,Seed,2018
FreightBazaar,Hyderabad,Transportation,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Undisclosed,1140351.0,Seed,2018
i2ifunding,Noida,"Crowdfunding, Finance, Financial Services",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Undisclosed,730994.0,Angel,2018
Doxper,Mumbai,"Health Care, Hospital",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Undisclosed,1052632.0,Seed,2018
UrbanPiper,Bengaluru,Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Undisclosed,1140351.0,Seed,2018
Creditas Solutions,Gurgaon,Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Undisclosed,1140351.0,Seed,2018
Printline Media(ThePrint),Delhi,"Digital Media, News, Publishing",A digital news platform.,Undisclosed,510234.0,Seed,2018
Carmel Organics,Indore,"Agriculture, AgTech, Manufacturing","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Undisclosed,1140351.0,Series A,2018
Benepik,Gurgaon,Human Resources,HR Technology start-up.,Undisclosed,1140351.0,Seed,2018
Inc42,Delhi,"Media and Entertainment, News, Publishing",Inc42 is one of the leading tech media publications of India.,Undisclosed,1140351.0,Seed,2018
ShakeDeal,Bengaluru,"B2B, E-Commerce, Enterprise",Home of B2B Commerce,Undisclosed,1140351.0,Seed,2018
Hey Deedee,Mumbai,"Delivery Service, Logistics, Service Industry",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Undisclosed,482456.0,Seed,2018
Inntot Technologies,Kochi,Consumer Electronics,"Inntot Technologies, is a technology driven company.",Undisclosed,1140351.0,Seed,2018
Orbo.ai,Mumbai,Internet,Orbo is a computer vision and deep facial technology company.,Undisclosed,1140351.0,Seed,2018
Reculta,Noida,"Education, Human Resources",A campus recruitment solution provider.,Undisclosed,1140351.0,Seed,2018
Poshmiles Online Solutions Private Limited,Bengaluru,Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Undisclosed,1140351.0,Seed,2018
Theranosis Life Sciences,Hyderabad,"Biotechnology, Health Care, Life Science, Medical Device",A fully functioning cell culture facility and molecular biology setup.,Undisclosed,1140351.0,Seed,2018
Nivesh.com,Noida,"Finance, Financial Services, Marketing",Nivesh.com is a mass market mutual funds investment platform.,Undisclosed,438596.0,Seed,2018
EGK Foods,Mumbai,"Food and Beverage, Food Processing, Organic Food, Snack Food",A food processing enterprise registered with StartUp India .,Undisclosed,292398.0,Seed,2018
GalaxyCard,Noida,"Finance, Financial Services, FinTech",GalaxyCard is a mobile based Instant credit card.,Undisclosed,1140351.0,Seed,2018
Zoctr Health,Powai,"Apps, Health Care, Hospital, Mobile Apps",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Undisclosed,1140351.0,Seed,2018
OPEN,Bengaluru,Banking,Open up to a new world of Banking,Undisclosed,1140351.0,Seed,2018
HelloVerify,Noida,"Fraud Detection, Information Services, Security",HelloVerify is an online background check platform.,Undisclosed,1140351.0,Seed,2018
Wedeterna,Bengaluru,Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Undisclosed,1140351.0,Angel,2018
Rocketium,Bengaluru,"Marketing, Social Media, Video",Easy video creation for social media.,Undisclosed,292398.0,Seed,2018
Cashkumar,Bengaluru,"Consumer Lending, Finance, FinTech",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Undisclosed,730994.0,Seed,2018
Aashiyaan Housing and Development Finance,Kolkata,Financial Services,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Undisclosed,1973684.0,Seed,2018
Chtrbox,Mumbai,"Advertising, Internet, Marketing",Chtrbox connects social media influencers with brands .,Undisclosed,146199.0,Angel,2018
DheeYantra Research Labs,Bengaluru,Artificial Intelligence,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Undisclosed,1140351.0,Seed,2018
Bonphul Air Products,Delhi,CleanTech,A clean tech product Company,Undisclosed,292398.0,Angel,2018
arzooo.com,Bengaluru,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Undisclosed,219298.0,Seed,2018
Blueleaf Cyberspace Systems,Bengaluru,"Internet, Software",Bluleaf Cyberspace is Cloud Based Software Company.,Undisclosed,1140351.0,Seed,2018
CoinGeto,Delhi,"Cryptocurrency, Trading Platform",CoinGeto is one of India’s most advanced digital assets exchange.,Undisclosed,1754386.0,Seed,2018
Syncremedies Healthcare Pvt Ltd,Bengaluru,"Alternative Medicine, Health Care","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Undisclosed,1140351.0,Seed,2018
Ora,Kolkata,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,Undisclosed,1140351.0,Seed,2018
Nua,Mumbai,Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,Undisclosed,1140351.0,Seed,2018
Wellthy Therapeutics Pvt Ltd,Mumbai,"Health Care, Hospital","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Undisclosed,1973684.0,Seed,2018
Aarav Unmanned Systems,Bengaluru,"Delivery, Drones, Geospatial, Robotics",Professional Drones for Enterprise Applications,Undisclosed,1140351.0,Seed,2018
Picture TIme,Delhi,Digital Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,Undisclosed,3654971.0,Seed,2018
MCaffeine,Mumbai,Consumer Goods,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,Undisclosed,467836.0,Seed,2018
Doubtnut,Gurgaon,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Gurgaon based E-learning platform.,Undisclosed,511696.0,Seed,2018
Stumagz,Hyderabad,Digital Media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Undisclosed,1140351.0,Seed,2018
Predible Health,Bengaluru,Medical Device,Healthcare devices for cancer detection,Undisclosed,1140351.0,Seed,2018
Eggoz,Indore,"Food and Beverage, Food Processing",Eggoz is a full-stack layer poultry business operator & service provider .,Undisclosed,175439.0,Angel,2018
TECHBOOZE,Delhi,Education,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",Undisclosed,100000.0,Seed,2018
hoi foods,Gurgaon,"Food and Beverage, Food Delivery",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,Undisclosed,526316.0,Seed,2018
Togedr,Gurgaon,NaN,Togedr is an activity discovery & booking platform.,Undisclosed,1140351.0,Venture - Series Unknown,2018
Knocksense,Lucknow,"News, Publishing, Social Media",Knocksense is a fast growing lifestyle website.,Undisclosed,1140351.0,Seed,2018
DailyNinja,Bengaluru,"Apps, Mobile, Mobile Apps, Software","Daily Ninja, a mobile app that delivers daily needs on a subscription model",Undisclosed,1140351.0,Series A,2018
Planet11 eCommerce Solutions India (Avenue11),Bengaluru,NaN,"Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",Undisclosed,3801170.0,Corporate Round,2018
Qbera,Bengaluru,"Finance, Financial Services",Qbera is a managed marketplace for unsecured personal loans.,Undisclosed,2046784.0,Venture - Series Unknown,2018
Ummeed Housing Finance Private Limited,Haryana,"Finance, Financial Services",Ummeed Housing Finance Private Limited,Undisclosed,8771930.0,Series C,2018
Satya MicroCapital,Delhi,"Finance, Financial Exchanges, Financial Services, Micro Lending",New Delhi-based non-banking financial company.,Undisclosed,5847953.0,Venture - Series Unknown,2018
Technology 9 Labs (T9L),Delhi,Information Technology,Technology 9 Labs is an Information Technology and Services company.,Undisclosed,1140351.0,Corporate Round,2018
Parkwheels,Haryana,"Industrial, Industrial Automation","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",Undisclosed,175439.0,Seed,2018
docturnal,Hyderabad,"Biotechnology, Diabetes, Health Care","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",Undisclosed,1140351.0,Seed,2018
Strom Motors,Mumbai,Automotive,Strom Motors is a smart urban mobility Company.,Undisclosed,1140351.0,Angel,2018
Spoofin,Delhi,"Music, Social Network, Video",A social networking app that lets you create and view Spoofs of your favourite videos.,Undisclosed,1140351.0,Venture - Series Unknown,2018
Origo,Gurgaon,NaN,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",Undisclosed,11695906.0,Venture - Series Unknown,2018
9stacks,Delhi,"Online Games, Software",Online gaming startup.,Undisclosed,4093567.0,Series A,2018
Vogo Rentals,Kormangala,"Last Mile Transportation, Railroad, Transportation, Travel",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,Undisclosed,1169591.0,Debt Financing,2018
ElasticRun,Pune,"Delivery, Logistics, Transportation",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,Undisclosed,8771930.0,Series B,2018
Blackbuck,Bengaluru,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Blackbuck is a logistics startup based in India.,Undisclosed,29672515.0,Series D,2018
Lavelle Networks,Bengaluru,"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,Undisclosed,292398.0,Venture - Series Unknown,2018
Stanza Living,Delhi,"Hospitality, Information Technology, Travel Accommodations",Stanza Living is a co-living platform created for students moving to a new place.,Undisclosed,10672515.0,Venture - Series Unknown,2018
RevFin,Delhi,"Accounting, Banking, Finance",RevFin is a digital lending company.,Undisclosed,1140351.0,Seed,2018
Max Healthcare,Delhi,"Health Care, Hospital, Supply Chain Management",Max Healthcare is one of the leading chain of hospitals in India.,Undisclosed,1140351.0,Corporate Round,2018
Furlenco,Bengaluru,"Consumer, Furniture, Home Decor, Home Improvement",Furlenco is a Bangalore-based company that offers a home furniture subscription program.,Undisclosed,1140351.0,Series C,2018
Droni Tech,Mumbai,Information Technology,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,Undisclosed,511696.0,Seed,2018
Happyeasygo Group,Haryana,"Tourism, Travel",HappyEasyGo is an online travel domain.,Undisclosed,1140351.0,Series A,2018
Cleardekho,Ghaziabad,"Eyewear, Internet",Uttar Pradesh based online eyewear marketplace.,Undisclosed,1140351.0,Venture - Series Unknown,2018
Multibashi,Bengaluru,"E-Learning, Internet",Free language learning platform.,Undisclosed,146199.0,Seed,2018
LT Foods,Delhi,"Food and Beverage, Food Processing, Manufacturing",LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,Undisclosed,20467836.0,Post-IPO Equity,2018
Heelium,Pune,"Fitness, Sporting Goods, Sports",Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,Undisclosed,1140351.0,Seed,2018
Chaayos,Delhi,"Food and Beverage, Restaurants, Tea",Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,Undisclosed,11842105.0,Series B,2018
Nykaa,Mumbai,"Beauty, Fashion, Wellness",Nykaa.com is a premier online beauty and wellness destination,Undisclosed,16520468.0,Secondary Market,2018
GoBolt,Delhi,"Logistics, Railroad, Transportation",Delhi-based logistics technology.,Undisclosed,5847953.0,Venture - Series Unknown,2018
srJna,Jaipur,Education,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",Undisclosed,1140351.0,Seed,2018
Flyrobe,Mumbai,"Fashion, Lifestyle, Rental",Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,Undisclosed,3859649.0,Series B,2018
Connect India,Delhi,"Delivery Service, E-Commerce, Logistics","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",Undisclosed,1140351.0,Angel,2018
Haazri,Mumbai,"Food and Beverage, Snack Food, Tea",Haazri is a tea and snack quick service restaurant startup,Undisclosed,182749.0,Seed,2018
Moonshine Meadery,Pune,Food and Beverage,Moonshine Meadery is a first craft meadery.,Undisclosed,1140351.0,Seed,2018
BabyChakra,Mumbai,"Child Care, Information Technology",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,Undisclosed,1140351.0,Series B,2018
Bon(Bonfleet Solutions),Pune,"Financial Services, FinTech","Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",Undisclosed,1140351.0,Seed,2018
Myra,Bengaluru,"Apps, Health Care, Pharmaceutical",Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,Undisclosed,127924.0,Venture - Series Unknown,2018
Xplorabox,Noida,"E-Commerce, Education, Health Care",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,Undisclosed,1140351.0,Seed,2018
Scholify,Bengaluru,NaN,Edutech,Undisclosed,1140351.0,Pre-Seed,2018
HealthifyMe,Bengaluru,"Apps, Fitness, Health Care, mHealth",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,Undisclosed,6000000.0,Series B,2018
GoZefo,Bengaluru,"Computer, Furniture, Software",Startup working on a white space in the eCommerce industry.,Undisclosed,3070175.0,Venture - Series Unknown,2018
Singularity Dynamics,Bengaluru,Artificial Intelligence,Singularity Dynamics is a Chip-design testing startup.,Undisclosed,1140351.0,Seed,2018
Mobycy,Gurgaon,"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",India's 1st Dockless Bicycle Sharing App,Undisclosed,1140351.0,Angel,2018
BIGPHI TECHNOLOGIES PVT. LTD.,Bengaluru,Fashion,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,Undisclosed,900000.0,Angel,2018
Vizzbee,Bhopal,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Autonomous Drone Solutions for last mile delivery as well as search and rescue,Undisclosed,20000.0,Pre-Seed,2018
FarmTaaza,Bengaluru,"Agriculture, Farmers Market, Farming",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,Undisclosed,1140351.0,Series A,2018
Gugu,Coimbatore,"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,Undisclosed,250000.0,Seed,2018
BhaskarGuru,Bhopal,Search Engine,Bhaskarguru.com is your local search Engine,Undisclosed,1000000.0,Seed,2018
Meesho,Bengaluru,"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",Undisclosed,50000000.0,Series C,2018
Cred,Bengaluru,NaN,Cred is a platform to celebrate and reward the most creditworthy people of India.,Undisclosed,1140351.0,Seed,2018
Traveo Soft Pvt. Ltd.,Bengaluru,"Mobile, Software, Travel",AI based Business Travel & Expense management,Undisclosed,17544.0,Undisclosed,2018
WalMart India,Gurgaon,Retail,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",Undisclosed,37680000.0,Venture - Series Unknown,2018
Dunzo,Bengaluru,"Customer Service, Messaging, Mobile Apps, Personalization",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,Undisclosed,1023392.0,Debt Financing,2018
Med365 Healthcare,Jaipur,Health Diagnostics,"Wellness, Specialised Testing, Healthcare at Home",Undisclosed,730994.0,Seed,2018
Asset Reconstruction Company (India) Ltd.,Mumbai,"Financial Services, Professional Services",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,Undisclosed,1140351.0,Secondary Market,2018
Spinny,Gurgaon,"E-Commerce, E-Commerce Platforms, Internet, Retail",Used cars marketplace in India. Ushering new era of transparency and convenience.,Undisclosed,11000000.0,Series A,2018
DRIVEU,Bengaluru,"Rental, Taxi Service, Travel",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,Undisclosed,1023392.0,Venture - Series Unknown,2018
CleanseCar,Bengaluru,Automotive,CleanseCar is a company provides Washing and Repair Services.,Undisclosed,511696.0,Angel,2018
Royal Sundaram General Insurance Co. Limited,Kalpakkam,"Health Insurance, Insurance, Life Insurance","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",Undisclosed,210000000.0,Corporate Round,2018
Perpule,Bengaluru,"Apps, Payments, Retail",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,Undisclosed,4970760.0,Series A,2018
Mobile Premier League (MPL),Bengaluru,"Gaming, iOS, Sports",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,Undisclosed,5000000.0,Series A,2018
Manjushree Technopack,Bengaluru,Packaging Services,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,Undisclosed,1140351.0,Private Equity,2018
Em Personal Care,Worli,Cosmetics,Em Personal Care is a Cosmetic products manufacturing Company.,Undisclosed,1140351.0,Seed,2018
GamingMonk,Delhi,"eSports, Gaming, Video Games","GamingMonk is an eSports gaming company based out of New Delhi, India.",Undisclosed,584795.0,Series A,2018
Vivish Technologies (myGate),Bengaluru,"Apps, Information Services, Information Technology",India's leading mobile based security management solution .,Undisclosed,9502924.0,Series A,2018
Worxogo,Bengaluru,Information Technology,worxogo’s is a pioneering persuasive technology products align employee behaviours .,Undisclosed,2412281.0,Series A,2018
FarmersFZ,Kochi,Agriculture,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Undisclosed,1140351.0,Seed,2018
Taru Naturals,Mumbai,"Agriculture, Farming",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,Undisclosed,1140351.0,Seed,2018
Cellerite Systems,Hyderabad,Electric Vehicle,Cellerite Systems is a charging solutions provider for electric vehicles.,Undisclosed,1140351.0,Seed,2018
UpCyclersLab,Mumbai,"Apps, Education, Retail",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,Undisclosed,1140351.0,Seed,2018
Loans4SME,Mumbai,Financial Services,Loans4SME is an alternative lending platform.,Undisclosed,1140351.0,Seed,2018
Mynvax,Bengaluru,Biotechnology,Mynvax is a biotech Company.,Undisclosed,1140351.0,Angel,2018
Eupheus Learning,Delhi,"E-Learning, EdTech, Education",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,Undisclosed,1140351.0,Seed,2018
RAHI Care,Chandigarh,"Health Care, Hospital",RAHI Care is a Health Care company.,Undisclosed,1140351.0,Venture - Series Unknown,2018
GuruQ,Delhi,Reading Apps,A one of its kind digital integrated platform connecting tutors and students.,Undisclosed,365497.0,Seed,2018
ClearTax,Delhi,"Accounting, Apps, FinTech",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,Undisclosed,58479532.0,Series B,2018
Vistara,Haryana,Aerospace,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),Undisclosed,292397661.0,Private Equity,2018
Indiabulls Ventures,Mumbai,"Financial Services, Venture Capital",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,Undisclosed,225029240.0,Post-IPO Equity,2018
Medimetry,Haryana,Health Care,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",Undisclosed,1140351.0,Seed,2018
Clensta,Delhi,"Biotechnology, Health Care, Wellness",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,Undisclosed,1140351.0,Seed,2018
INDwealth,Gurgaon,Financial Services,INDwealth is an Artificial Intelligence (AI) powered wealth management company,Undisclosed,32163743.0,Seed,2018
Sukkhi Jewellery,Mumbai,"Fashion, Jewelry",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,Undisclosed,7456140.0,Venture - Series Unknown,2018
Cube,Mumbai,"Banking, Financial Services, FinTech",Cube is consumer banking focused fintech company.,Undisclosed,2046784.0,Series A,2018
ZunRoof,Gurgaon,"Environmental Consulting, Renewable Energy",ZunRoof is a rooftop focused solar startup.,Undisclosed,242690.0,Angel,2018
Iba Halal Care,Ahmedabad,NaN,Iba Halal Care is a cosmetics brand company.,Undisclosed,2192982.0,Series A,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Pune,NaN,Digital Marketing Agency,Undisclosed,2924.0,Seed,2018
Khidki,Bengaluru,"Artificial Intelligence, Social",Vernacular Social Network Focused on Town Level Content and Interactions,Undisclosed,1140351.0,Seed,2018
AuthMetrik,Gurgaon,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","SaaS, B2B, Security, Stop account sharing, Fraud Detection",Undisclosed,10000.0,Grant,2018
